candle_ts,tick,time_remaining,opportunity_type,price_at_decision,potential_return_pct,confidence,expected_return,btc_change_pct
1769386500,4247,62.36%,NO,0.355,181.7%,23.15%,11.80%,0.065%
1769387400,4354,95.89%,NO,0.455,119.8%,26.40%,34.50%,0.021%
1769388300,4525,89.64%,YES,0.245,308.2%,25.03%,13.86%,-0.141%
1769389200,4670,99.61%,YES,0.505,98.0%,15.76%,32.49%,0.000%
1769390100,4831,99.69%,YES,0.495,102.0%,15.84%,32.69%,0.000%
1769391000,5066,53.91%,YES,0.415,141.0%,19.71%,24.29%,-0.038%
1769391900,5208,65.77%,YES,0.185,440.5%,41.04%,1.76%,-0.202%
1769392800,5315,99.29%,NO,0.505,98.0%,15.85%,32.69%,0.000%
1769393700,5477,98.53%,YES,0.485,106.2%,20.36%,20.96%,-0.005%
1769394600,5658,86.10%,NO,0.415,141.0%,28.20%,46.12%,0.052%
1769395500,5805,94.73%,NO,0.345,189.9%,25.36%,34.84%,0.046%
1769396400,5974,89.82%,YES,0.295,239.0%,16.62%,26.73%,-0.072%
1769397300,6121,98.45%,NO,0.425,135.3%,19.40%,31.25%,0.032%
1769398200,6282,98.48%,NO,0.375,166.7%,19.51%,31.72%,0.027%
1769399100,6447,96.10%,NO,0.405,146.9%,25.42%,30.91%,0.019%
1769400000,6655,66.96%,YES,0.425,135.3%,26.44%,14.86%,-0.043%
1769400900,6789,83.74%,YES,0.455,119.8%,21.02%,52.81%,0.010%
1769401800,7020,40.44%,NO,0.305,227.9%,8.61%,45.15%,0.028%
1769402700,7192,33.54%,NO,0.150,566.7%,81.12%,-0.98%,0.093%
1769403600,7273,83.18%,NO,0.355,181.7%,30.37%,35.93%,0.058%
1769404500,7422,90.88%,YES,0.505,98.0%,13.20%,35.11%,0.029%
1769405400,7603,78.49%,NO,0.360,177.8%,82.43%,2.32%,0.071%
1769406300,7820,43.70%,NO,0.125,700.0%,22.21%,29.13%,0.128%
1769407200,7975,47.36%,NO,0.135,640.7%,23.89%,4.73%,0.067%
1769408100,8066,90.97%,YES,0.515,94.2%,14.43%,28.32%,0.001%
1769409000,8240,83.17%,NO,0.355,181.7%,9.22%,52.12%,-0.011%
1769409900,8441,58.36%,NO,0.285,250.9%,78.32%,-9.08%,0.017%
1769410800,8590,65.90%,YES,0.190,426.3%,44.46%,-2.19%,-0.098%
1769411700,8697,99.28%,NO,0.505,98.0%,15.76%,33.37%,0.000%
1769412600,8872,90.55%,YES,0.255,292.2%,37.87%,-2.35%,-0.096%
1769413500,9064,71.10%,YES,0.335,198.5%,14.55%,15.69%,-0.062%
1769414400,9297,26.21%,NO,0.015,6566.7%,84.92%,-2.95%,0.148%
1769415300,9374,78.40%,YES,0.255,292.2%,36.53%,4.40%,-0.083%
1769416200,9524,85.30%,NO,0.455,119.8%,24.90%,37.33%,0.030%
1769417100,9722,62.31%,NO,0.345,189.9%,7.27%,24.09%,0.032%
1769418000,9827,96.99%,NO,0.395,153.2%,22.65%,31.12%,0.025%
1769418900,10067,47.75%,NO,0.325,207.7%,28.34%,40.93%,0.013%
1769419800,10145,99.32%,NO,0.415,141.0%,16.74%,30.65%,0.000%
1769420700,10324,87.95%,NO,0.295,239.0%,32.40%,34.64%,0.052%
1769421600,10478,92.27%,YES,0.535,86.9%,10.98%,36.34%,-0.004%
1769422500,10662,77.97%,YES,0.315,217.5%,23.50%,17.75%,-0.048%
1769423400,10846,63.58%,NO,0.265,277.4%,81.83%,3.68%,0.042%
1769424300,11063,28.87%,NO,0.125,700.0%,27.79%,34.35%,0.032%
1769425200,11110,99.62%,YES,0.485,106.2%,15.96%,32.78%,0.000%
1769426100,11289,88.58%,NO,0.495,102.0%,18.37%,34.55%,0.005%
1769427000,11447,90.42%,YES,0.385,159.7%,8.07%,40.66%,-0.041%
1769427900,11605,92.24%,YES,0.255,292.2%,12.44%,29.73%,-0.056%
1769428800,11867,29.31%,YES,0.065,1438.5%,49.90%,-11.22%,-0.127%
1769429700,12013,38.53%,YES,0.265,277.4%,12.64%,-5.09%,-0.034%
1769430600,12094,88.32%,NO,0.455,119.8%,22.75%,38.32%,0.012%
1769431500,12243,95.85%,YES,0.505,98.0%,13.53%,33.61%,-0.006%
1769432400,12515,26.82%,YES,0.055,1718.2%,53.32%,-14.37%,-0.106%
1769433300,12575,89.54%,YES,0.385,159.7%,12.02%,33.47%,-0.023%
1769434200,12729,93.79%,YES,0.395,153.2%,10.96%,35.34%,-0.026%
1769435100,12889,94.23%,NO,0.525,90.5%,17.20%,33.72%,0.000%
1769436000,13106,59.06%,NO,0.265,277.4%,17.31%,23.59%,0.055%
1769436900,13211,93.62%,NO,0.225,344.4%,30.97%,40.69%,0.129%
1769437800,13393,80.74%,YES,0.235,325.5%,13.70%,28.22%,-0.182%
1769438700,13644,24.69%,YES,0.025,3900.0%,31.10%,-3.77%,-0.329%
1769439600,13702,88.65%,YES,0.305,227.9%,15.87%,39.60%,-0.135%
1769440500,13873,82.20%,NO,0.385,159.7%,10.49%,37.42%,0.097%
1769441400,14006,99.54%,NO,0.545,83.5%,16.36%,33.13%,0.000%
1769442300,14189,85.77%,YES,0.375,166.7%,15.02%,29.52%,-0.186%
1769443200,14369,73.83%,NO,0.275,263.6%,13.17%,20.79%,0.126%
1769444100,14499,92.89%,YES,0.265,277.4%,30.94%,8.05%,-0.227%
1769445000,14657,94.74%,NO,0.415,141.0%,25.18%,33.03%,0.041%
1769445900,14813,97.62%,YES,0.425,135.3%,14.43%,29.11%,-0.035%
1769446800,15028,63.81%,NO,0.170,488.2%,79.15%,12.04%,0.239%
1769447700,15137,95.67%,NO,0.325,207.7%,22.18%,34.95%,0.095%
1769448600,15321,81.48%,YES,0.115,769.6%,36.15%,-3.84%,-0.360%
1769449500,15455,98.38%,YES,0.455,119.8%,16.72%,28.65%,-0.037%
1769450400,15683,56.83%,YES,0.405,146.9%,49.50%,-2.49%,-0.011%
1769451300,15791,89.69%,YES,0.255,292.2%,20.26%,20.41%,-0.111%
1769452200,16047,30.36%,NO,0.215,365.1%,29.30%,12.68%,0.069%
1769453100,16103,95.48%,YES,0.365,174.0%,12.44%,31.24%,-0.077%
1769454000,16272,90.42%,NO,0.295,239.0%,24.07%,38.38%,0.123%
1769454900,16422,97.08%,NO,0.415,141.0%,17.48%,31.62%,0.056%
1769455800,16611,79.78%,YES,0.345,189.9%,38.03%,18.25%,-0.049%
1769456700,16755,90.35%,NO,0.415,141.0%,27.43%,36.93%,0.028%
1769457600,16961,62.31%,NO,0.165,506.1%,21.34%,27.95%,0.162%
1769458500,17142,49.72%,NO,0.185,440.5%,71.13%,3.45%,0.092%
1769459400,17234,92.65%,NO,0.395,153.2%,28.23%,34.45%,0.031%
1769460300,17392,94.66%,NO,0.385,159.7%,23.72%,33.50%,0.015%
1769461200,17624,50.37%,YES,0.435,129.9%,19.33%,31.51%,-0.040%
1769462100,17787,48.73%,YES,0.190,426.3%,14.77%,-0.24%,-0.085%
1769463000,17876,93.49%,NO,0.285,250.9%,21.54%,38.90%,0.093%
1769463900,17921,68.81%,YES,0.155,545.2%,12.37%,38.01%,-0.049%
1769464800,18072,75.13%,YES,0.345,189.9%,15.08%,24.73%,-0.040%
1769465700,18200,95.46%,NO,0.435,129.9%,31.12%,36.33%,0.033%
1769466600,18356,98.43%,YES,0.385,159.7%,10.94%,32.25%,-0.028%
1769467500,18568,66.91%,YES,0.475,110.5%,23.59%,41.06%,-0.007%
1769468400,18708,80.02%,YES,0.215,365.1%,23.58%,24.56%,-0.116%
1769469300,18860,85.60%,YES,0.315,217.5%,19.92%,27.80%,-0.055%
1769470200,18999,99.33%,YES,0.455,119.8%,16.36%,33.13%,0.000%
1769471100,19161,98.72%,NO,0.525,90.5%,16.55%,31.20%,0.000%
1769472000,19321,99.28%,NO,0.345,189.9%,13.46%,29.38%,0.054%
1769472900,19486,96.65%,YES,0.505,98.0%,11.88%,35.17%,-0.013%
1769473800,19684,73.57%,NO,0.495,102.0%,7.25%,42.66%,-0.015%
1769474700,19875,55.10%,YES,0.305,227.9%,18.79%,16.85%,-0.063%
1769475600,19964,99.83%,NO,0.495,102.0%,15.76%,32.49%,0.000%
1769476500,20142,89.30%,YES,0.405,146.9%,12.97%,33.03%,-0.023%
1769477400,20288,98.46%,YES,0.405,146.9%,14.83%,29.71%,-0.035%
1769478300,20354,72.29%,NO,0.395,153.2%,17.97%,30.93%,0.000%
1769479200,20471,99.38%,YES,0.520,92.3%,15.73%,32.02%,0.000%
1769480100,20664,79.15%,NO,0.395,153.2%,10.89%,34.77%,0.036%
1769481000,20808,89.60%,YES,0.565,77.0%,9.65%,40.34%,-0.005%
1769481900,20981,82.03%,YES,0.335,198.5%,16.42%,36.47%,-0.034%
1769482800,21145,80.10%,NO,0.365,174.0%,13.66%,33.51%,0.082%
1769483700,21328,66.28%,YES,0.375,166.7%,36.73%,9.18%,-0.026%
1769484600,21474,75.63%,YES,0.235,325.5%,22.07%,19.22%,-0.058%
1769485500,21612,89.82%,NO,0.505,98.0%,16.94%,30.07%,0.002%
1769486400,21823,58.62%,YES,0.110,809.1%,55.44%,-16.63%,-0.105%
1769487300,21957,75.22%,YES,0.395,153.2%,8.73%,41.85%,-0.016%
1769488200,22131,66.91%,NO,0.465,115.1%,8.34%,49.24%,-0.006%
1769489100,22258,87.79%,NO,0.385,159.7%,21.71%,35.59%,0.011%
1769490000,22431,80.22%,NO,0.405,146.9%,11.25%,30.80%,0.004%
1769490900,22645,46.91%,YES,0.255,292.2%,36.84%,21.22%,-0.068%
1769491800,22837,27.51%,NO,0.065,1438.5%,92.18%,-3.17%,0.051%
1769492700,22915,78.97%,NO,0.205,387.8%,94.69%,-1.33%,0.075%
1769493600,23131,44.57%,YES,0.315,217.5%,36.59%,-9.71%,-0.028%
1769494500,23203,99.88%,NO,0.505,98.0%,15.84%,32.69%,0.000%
1769495400,23365,99.50%,NO,0.465,115.1%,15.78%,31.62%,0.000%
1769496300,23608,48.60%,YES,0.425,135.3%,29.05%,-6.81%,-0.009%
1769497200,23689,98.19%,YES,0.485,106.2%,18.08%,44.39%,0.001%
1769498100,23910,60.87%,YES,0.145,589.7%,37.07%,-3.14%,-0.066%
1769499000,24074,59.12%,NO,0.325,207.7%,94.11%,31.16%,0.031%
1769499900,24176,95.75%,NO,0.445,124.7%,21.57%,32.63%,0.000%
1769500800,24342,92.65%,YES,0.425,135.3%,14.84%,30.73%,-0.022%
1769501700,24500,94.67%,NO,0.305,227.9%,22.18%,34.60%,0.035%
1769502600,24741,44.99%,NO,0.085,1076.5%,93.29%,2.55%,0.077%
1769503500,24814,99.65%,NO,0.455,119.8%,15.87%,31.39%,0.000%
1769504400,24975,99.66%,NO,0.445,124.7%,16.00%,31.18%,0.000%
1769505300,25257,24.22%,NO,0.205,387.8%,36.42%,16.38%,0.026%
1769506200,25350,66.52%,YES,0.340,194.1%,15.25%,26.88%,-0.073%
1769507100,25476,88.31%,NO,0.395,153.2%,17.01%,39.27%,0.015%
1769508000,25620,99.07%,YES,0.505,98.0%,15.26%,30.93%,-0.010%
1769508900,25832,67.54%,NO,0.255,292.2%,27.63%,31.82%,0.057%
1769509800,25941,99.88%,NO,0.460,117.4%,15.82%,31.50%,0.000%
1769510700,26120,88.81%,NO,0.325,207.7%,28.58%,36.47%,0.030%
1769511600,26297,78.85%,YES,0.495,102.0%,11.84%,46.51%,-0.036%
1769512500,26446,86.37%,NO,0.375,166.7%,36.01%,39.34%,0.019%
1769513400,26588,98.30%,YES,0.505,98.0%,15.19%,31.11%,-0.011%
1769514300,26828,49.38%,NO,0.245,308.2%,12.78%,29.91%,0.043%
1769515200,26968,61.81%,YES,0.335,198.5%,40.10%,12.16%,-0.001%
1769516100,27175,33.36%,NO,0.095,952.6%,15.24%,32.68%,0.068%
1769517000,27274,72.02%,NO,0.445,124.7%,10.13%,26.50%,0.031%
1769517900,27472,49.04%,NO,0.185,440.5%,34.02%,7.40%,0.040%
1769518800,27607,65.23%,NO,0.295,239.0%,17.05%,37.16%,0.012%
1769519700,27716,97.59%,NO,0.385,159.7%,21.85%,31.39%,0.025%
1769520600,27880,95.77%,YES,0.505,98.0%,14.77%,31.55%,-0.019%
1769521500,28058,85.14%,NO,0.505,98.0%,9.56%,38.20%,0.019%
1769522400,28204,94.33%,YES,0.395,153.2%,12.16%,31.09%,-0.036%
1769523300,28474,26.55%,NO,0.195,412.8%,48.17%,5.16%,0.037%
1769524200,28552,78.09%,NO,0.405,146.9%,6.64%,37.78%,0.044%
1769525100,28709,80.64%,YES,0.485,106.2%,17.99%,33.56%,-0.072%
1769526000,28859,87.26%,YES,0.295,239.0%,22.01%,17.38%,-0.156%
1769526900,29008,94.88%,NO,0.475,110.5%,30.10%,35.28%,0.041%
1769527800,29176,90.61%,YES,0.455,119.8%,13.55%,33.54%,-0.008%
1769528700,29323,99.38%,YES,0.510,96.1%,15.74%,32.33%,0.000%
1769529600,29517,79.06%,YES,0.415,141.0%,19.18%,38.97%,-0.025%
1769530500,29558,62.28%,NO,0.335,198.5%,93.73%,3.37%,0.133%
1769531400,29659,99.60%,YES,0.515,94.2%,15.73%,32.17%,0.000%
1769532300,29879,62.98%,NO,0.385,159.7%,13.57%,31.25%,0.038%
1769533200,30017,77.38%,NO,0.410,143.9%,43.22%,29.31%,0.066%
1769534100,30143,99.04%,NO,0.485,106.2%,19.68%,29.83%,0.021%
1769535000,30323,87.16%,NO,0.325,207.7%,11.87%,33.19%,0.103%
1769535900,30467,96.62%,YES,0.465,115.1%,13.13%,30.90%,-0.020%
1769536800,30744,24.11%,YES,0.335,198.5%,28.28%,-3.21%,-0.000%
1769537700,30783,99.85%,YES,0.505,98.0%,15.76%,32.49%,0.000%
1769538600,31068,22.51%,NO,0.295,239.0%,24.30%,9.91%,0.039%
1769539500,31105,99.56%,YES,0.505,98.0%,15.76%,32.49%,0.000%
1769540400,31282,89.32%,NO,0.485,106.2%,12.11%,26.32%,0.048%
1769541300,31468,73.45%,YES,0.375,166.7%,15.65%,31.72%,-0.033%
1769542200,31608,86.50%,YES,0.265,277.4%,21.02%,24.21%,-0.069%
1769543100,31765,88.86%,NO,0.565,77.0%,9.90%,34.90%,0.019%
1769544000,31914,96.10%,YES,0.445,124.7%,17.31%,31.00%,-0.006%
1769544900,32074,96.65%,YES,0.305,227.9%,11.36%,31.35%,-0.061%
1769545800,32230,99.68%,NO,0.535,86.9%,16.22%,32.99%,0.000%
1769546700,32391,99.63%,YES,0.485,106.2%,15.96%,32.78%,0.000%
1769547600,32634,48.92%,NO,0.275,263.6%,95.84%,15.58%,0.091%
1769548500,32718,96.68%,NO,0.375,166.7%,16.05%,31.14%,0.069%
1769549400,32882,94.66%,NO,0.395,153.2%,18.68%,31.64%,0.040%
1769550300,33068,79.13%,NO,0.215,365.1%,68.78%,-0.06%,0.107%
1769551200,33196,99.60%,YES,0.555,80.2%,16.00%,31.18%,0.000%
1769552100,33421,59.65%,YES,0.095,952.6%,17.58%,-14.74%,-0.154%
1769553000,33526,94.40%,YES,0.355,181.7%,14.20%,32.74%,-0.027%
1769553900,33679,99.49%,NO,0.565,77.0%,16.65%,33.42%,0.000%
1769554800,33900,62.27%,YES,0.165,506.1%,17.93%,17.42%,-0.089%
1769555700,34020,87.80%,YES,0.325,207.7%,23.40%,30.15%,-0.037%
1769556600,34167,96.41%,NO,0.535,86.9%,17.25%,32.07%,0.001%
1769557500,34357,78.31%,NO,0.235,325.5%,94.86%,6.49%,0.078%
1769558400,34591,33.13%,NO,0.265,277.4%,96.40%,31.31%,0.033%
1769559300,34666,86.56%,YES,0.225,344.4%,28.09%,10.83%,-0.083%
1769560200,34806,99.79%,NO,0.515,94.2%,15.96%,32.78%,0.000%
1769561100,34967,99.71%,YES,0.495,102.0%,15.84%,32.69%,0.000%
1769562000,35223,40.50%,NO,0.425,135.3%,12.47%,12.49%,0.013%
1769562900,35351,61.06%,NO,0.125,700.0%,95.32%,0.96%,0.129%
1769563800,35490,74.54%,YES,0.170,488.2%,14.76%,-10.97%,-0.148%
1769564700,35630,87.43%,YES,0.275,263.6%,24.29%,18.38%,-0.067%
1769565600,35834,60.84%,NO,0.295,239.0%,16.23%,38.79%,0.072%
1769566500,36000,57.54%,YES,0.365,174.0%,25.79%,5.87%,-0.039%
1769567400,36106,91.60%,NO,0.355,181.7%,8.94%,25.58%,0.035%
1769568300,36308,66.00%,YES,0.275,263.6%,35.57%,4.61%,-0.059%
1769569200,36429,90.88%,NO,0.405,146.9%,12.07%,27.13%,0.035%
1769570100,36674,38.95%,NO,0.205,387.8%,70.46%,20.45%,0.041%
1769571000,36753,89.95%,YES,0.260,284.6%,23.06%,14.90%,-0.092%
1769571900,36899,99.33%,YES,0.545,83.5%,15.87%,31.39%,0.000%
1769572800,37085,83.90%,NO,0.385,159.7%,44.73%,31.40%,0.070%
1769573700,37344,22.81%,YES,0.075,1233.3%,27.84%,6.98%,-0.112%
1769574600,37397,89.93%,YES,0.325,207.7%,46.84%,-5.19%,-0.064%
1769575500,37544,98.64%,NO,0.455,119.8%,17.83%,30.72%,0.016%
1769576400,37815,30.29%,NO,0.115,769.6%,29.51%,35.44%,0.054%
1769577300,37898,78.68%,NO,0.335,198.5%,8.75%,27.19%,0.049%
1769578200,38143,26.68%,NO,0.025,3900.0%,68.30%,3.29%,0.154%
1769579100,38187,99.42%,YES,0.515,94.2%,15.73%,32.17%,0.000%
1769580000,38348,99.32%,YES,0.545,83.5%,15.87%,31.39%,0.000%
1769580900,38619,30.78%,NO,0.295,239.0%,12.89%,38.58%,0.043%
1769581800,38738,56.86%,NO,0.065,1438.5%,48.86%,12.45%,0.134%
1769582700,38842,92.46%,YES,0.405,146.9%,12.00%,31.41%,-0.043%
1769583600,39017,83.68%,NO,0.405,146.9%,7.89%,11.22%,0.008%
1769584500,39232,49.97%,YES,0.305,227.9%,13.29%,43.61%,-0.029%
1769585400,39313,99.49%,NO,0.545,83.5%,16.36%,33.13%,0.000%
1769586300,39540,58.48%,NO,0.325,207.7%,86.04%,35.08%,0.042%
1769587200,39636,98.86%,YES,0.495,102.0%,18.66%,23.42%,-0.010%
1769588100,39802,95.83%,NO,0.425,135.3%,23.89%,32.71%,0.024%
1769589000,40020,60.49%,YES,0.405,146.9%,14.79%,18.44%,-0.035%
1769589900,40118,99.63%,NO,0.545,83.5%,16.36%,33.12%,0.000%
1769590800,40405,21.32%,NO,0.055,1718.2%,85.47%,-0.02%,0.073%
1769591700,40504,59.74%,YES,0.155,545.2%,58.35%,-10.61%,-0.106%
1769592600,40603,98.17%,YES,0.485,106.2%,18.75%,34.90%,0.000%
1769593500,40810,69.50%,YES,0.305,227.9%,31.51%,17.08%,-0.051%
1769594400,40925,97.94%,NO,0.515,94.2%,12.77%,31.15%,0.009%
1769595300,41084,98.84%,NO,0.280,257.1%,11.75%,31.84%,0.055%
1769596200,41243,99.91%,YES,0.500,100.0%,15.44%,35.57%,0.000%
1769597100,41454,68.68%,NO,0.455,119.8%,24.45%,6.18%,0.018%
1769598000,41582,88.93%,NO,0.285,250.9%,13.16%,34.14%,0.046%
1769598900,41747,86.35%,YES,0.445,124.7%,15.07%,40.31%,-0.014%
1769599800,41976,43.88%,YES,0.095,952.6%,15.51%,-8.33%,-0.097%
1769600700,42069,86.09%,YES,0.355,181.7%,35.89%,26.02%,-0.030%
1769601600,42335,20.79%,NO,0.235,325.5%,73.93%,-1.65%,0.088%
1769602500,42400,80.39%,NO,0.345,189.9%,6.67%,27.61%,0.063%
1769603400,42582,67.15%,YES,0.315,217.5%,17.28%,18.35%,-0.081%
1769604300,42761,55.73%,YES,0.155,545.2%,41.85%,-10.99%,-0.118%
1769605200,42904,66.52%,YES,0.385,159.7%,11.65%,44.28%,-0.042%
1769606100,43030,88.07%,NO,0.365,174.0%,16.13%,30.05%,0.133%
1769607000,43207,77.81%,YES,0.405,146.9%,24.48%,41.37%,-0.010%
1769607900,43341,94.50%,NO,0.465,115.1%,17.43%,31.17%,0.056%
1769608800,43497,97.53%,NO,0.515,94.2%,15.28%,29.05%,-0.002%
1769609700,43677,85.73%,NO,0.375,166.7%,20.79%,39.50%,0.061%
1769610600,43877,61.07%,NO,0.235,325.5%,12.33%,33.49%,0.177%
1769611500,44082,33.81%,NO,0.275,263.6%,14.60%,21.85%,0.063%
1769612400,44208,55.57%,NO,0.085,1076.5%,42.04%,7.39%,0.258%
1769613300,44310,92.11%,YES,0.465,115.1%,12.54%,34.99%,-0.133%
1769614200,44512,66.59%,YES,0.455,119.8%,14.56%,44.43%,-0.025%
1769615100,44730,31.13%,NO,0.245,308.2%,87.08%,-1.91%,0.086%
1769616000,44786,96.36%,NO,0.405,146.9%,23.50%,32.06%,0.011%
1769616900,44942,99.48%,YES,0.525,90.5%,15.74%,31.88%,0.000%
1769617800,45112,93.93%,NO,0.405,146.9%,16.49%,35.23%,0.116%
1769618700,45343,50.62%,YES,0.405,146.9%,28.93%,1.45%,-0.053%
1769619600,45524,38.06%,YES,0.325,207.7%,40.01%,-14.62%,-0.067%
1769620500,45599,91.47%,NO,0.475,110.5%,18.99%,32.96%,0.033%
1769621400,45759,91.95%,YES,0.125,700.0%,44.66%,-4.50%,-0.310%
1769622300,45940,79.18%,YES,0.460,117.4%,21.16%,45.28%,0.003%
1769623200,46068,99.44%,NO,0.545,83.5%,16.36%,33.13%,0.000%
1769624100,46325,39.87%,NO,0.185,440.5%,33.30%,12.23%,0.127%
1769625000,46407,88.83%,NO,0.375,166.7%,9.73%,29.91%,0.075%
1769625900,46551,99.53%,NO,0.425,135.3%,16.43%,30.83%,0.000%
1769626800,46724,91.94%,NO,0.225,344.4%,21.24%,33.52%,0.251%
1769627700,46875,97.98%,YES,0.470,112.8%,13.09%,28.59%,-0.056%
1769628600,47048,90.69%,NO,0.325,207.7%,14.81%,41.92%,0.210%
1769629500,47197,98.11%,YES,0.535,86.9%,16.46%,30.54%,-0.023%
1769630400,47356,99.28%,YES,0.415,141.0%,14.63%,30.88%,-0.060%
1769632200,47671,99.66%,NO,0.555,80.2%,16.50%,33.27%,0.000%
1769633100,47841,93.92%,NO,0.495,102.0%,21.04%,32.42%,0.013%
1769634000,48053,62.27%,YES,0.105,852.4%,42.68%,-0.92%,-0.321%
1769634900,48246,42.36%,NO,0.275,263.6%,32.21%,6.91%,0.066%
1769635800,48376,61.34%,YES,0.175,471.4%,24.41%,11.85%,-0.120%
1769636700,48596,24.46%,NO,0.195,412.8%,20.08%,16.50%,0.058%
1769637600,48659,85.17%,NO,0.285,250.9%,25.23%,32.81%,0.067%
1769638500,48796,99.85%,NO,0.425,135.3%,16.43%,30.82%,0.000%
1769639400,48959,98.53%,NO,0.365,174.0%,17.45%,36.83%,-0.014%
